variable_name,label,notes
age_years,"Age (years)",
sex_male,"Sex, male",
admission_bmi,"Body-mass index",
hispanic_race,'Hispanic',
nonhispanic_white_race,'Non-Hispanic White',
nonhispanic_black_race,'Non-Hispanic Black',
medhist_cancer,'Cancer',
medhist_stroke,'Stroke',
medhist_ckd,'Chronic kidney disease',
medhist_on_dialysis,'On dialysis',
medhist_diabetes,'Diabetes mellitus',
medhist_dyslipidemia,'Dyslipidemia',
medhist_heart_failure,'Heart failure',
medhist_hypertension,'Hypertension',
medhist_pad,'Peripheral artery disease',
medhist_mi,'Prior MI',
medhist_cabg,'Prior CABG',
medhist_pci,'Prior PCI',
medhist_immune_disorder,'Immune disorders',
medhist_organ_transplant,'Organ transplant',
medhist_pulmonary_disease,'Pulmonary disease',
medhist_smoking,'Smoking',
on_hypertensive_before_adm,'On anti-hypertensives',
